ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.06465396835736595,0.12032475545394453,0.1164716077011689,0.0006166620511015993,0.0010945975804112337,0.0010955202418486529
ID_1UKOKW,0.0607862683671469,0.009863366392807809,0.006939538185216477,0.0005340321463714013,0.0007372413016027788,0.0007386926615969027
ID_U5H2YK,0.5142784100937359,0.45282873024319054,0.41829007347885633,0.006438834157124302,0.007806268874011524,0.007806268874011524
ID_55957A,0.5058833311012745,0.44864423989795965,0.4077641874306049,0.005998581270023947,0.007387798637466822,0.007387798637466822
ID_N1AC0A,0.058992965441522625,0.012677693033404299,0.010159670235943068,0.0005009060640657955,0.0007434222256181908,0.0007448951934881591
ID_4R3SGT,0.05866408383731491,0.013482714329920525,0.011060211181506489,0.0004949934701476292,0.0007540844933383965,0.0007556145348924384
ID_NVW38U,0.8666490871496761,0.8584660214518057,0.856827876972708,0.17992942266126816,0.17992942266126816,0.1845724217474399
ID_15LAWX,0.08892327541401612,0.12966905608937412,0.13363534925087625,0.0006779322531763004,0.0011027054436734383,0.0011109699456369846
ID_DPNOLZ,0.06628091808608173,0.13461616800291903,0.14631377098486387,0.0006800217456501263,0.0011124353958781505,0.0011341473293857464
ID_GXO4MZ,0.05980007681082697,0.024194201885634488,0.022631919750067068,0.00051563396082746,0.0007713790171815484,0.000773237361571542
ID_TWJ95S,0.06633753656715843,0.13491632738972636,0.14608957732578284,0.0006832786113934626,0.0011121641473904522,0.0011341280350714077
ID_F6RQR5,0.05880389839749109,0.013747439370594026,0.011351920453470655,0.0004975022517300114,0.000746694725394104,0.0007482223082667004
ID_OD0S5Q,0.47665480993811077,0.44189746702821214,0.40524433999233256,0.005939702214797652,0.007347985140514687,0.007347985140514687
ID_L4DEEY,0.7874945984601314,0.7838905973395288,0.7809188231878322,0.06562969362882491,0.06731557304560312,0.07065848185027768
ID_H0WWMP,0.058681065572007834,0.013516534896395377,0.011097328321628607,0.0004952978066488396,0.0007540864966636247,0.0007556166431060073
ID_NK0GGQ,0.05891632365503406,0.014955285556042596,0.012683975861886585,0.0004995247050532479,0.0007380829330991616,0.0007395372991892817
ID_C3E07L,0.09112716924191888,0.13825957858745583,0.13660660843931496,0.0007062446335202826,0.0011202901065400586,0.0011232691719252807
ID_8ZHOIS,0.06623946760893859,0.4421222943741417,0.4047234981569126,0.0006796965357043417,0.011494888321792828,0.012809787234106924
ID_WEM7E6,0.9746009181113696,0.9838879906637564,0.9819943148809485,0.4969234694810004,0.6159902975458272,0.6159902975458272
ID_EI276D,0.8426337234736639,0.8411331336640445,0.8488439580458164,0.19872962655762985,0.19872962655762985,0.20282801421429167
ID_WY9YFZ,0.05900607177224019,0.018288704470054498,0.016314186045311305,0.0005011425002413816,0.0007675900837820226,0.0007698937843461927
ID_VGITCI,0.0662919384687105,0.1360949420535251,0.14641172355993176,0.0006801060264506174,0.001113236080950667,0.0011349743393136097
ID_NHFYZX,0.05881006697433508,0.013785146327954691,0.011392142359828305,0.000497613101468014,0.0007467287171971336,0.0007483910174229224
ID_PZPP2T,0.05887722689571647,0.01371456520230013,0.011315687484920511,0.0004988208617593524,0.00074206007188322,0.0007435247318014028
ID_YSGK3Y,0.05913025426074142,0.01542325260129795,0.013197425201520207,0.0005033858250604396,0.0007622756089766554,0.0007638487975085403
ID_RT29AK,0.05949283917919274,0.015507151786807238,0.01328783610254618,0.0005099678692474732,0.0007606105932373199,0.0007625232788892819
ID_AUK2TM,0.5105102009931183,0.4526851739893442,0.41718606807971365,0.006416691990836288,0.007736023971460235,0.007736023971460235
ID_QZA91L,0.50945476093052,0.45177357118309686,0.4165360956443184,0.006265652529791842,0.0075683345959583915,0.0075683345959583915
ID_CWTE3D,0.9315998991369325,0.9251816856700961,0.9215882326867073,0.2812149619208839,0.2812149619208839,0.2812149619208839
ID_E04V5D,0.058879145025482124,0.011728620765903981,0.009085586240455962,0.0004988553801593817,0.00074912695948143,0.000750644123625331
ID_XTGV9Y,0.08892945031309535,0.12978574612858268,0.13387931822637392,0.0006779322531763004,0.0011029725312509822,0.001111022474495369
ID_ADLLTR,0.06465440730238152,0.1203721268980617,0.1164716077011689,0.0006166620511015993,0.001094702446976403,0.0010956797746720839
ID_938PPA,0.0662774523105394,0.4422520089199284,0.40479461266010835,0.000679769196829098,0.011518398206572316,0.012816540174211606
ID_68PA5Q,0.08895958697228278,0.1298562371455847,0.13387931822637392,0.0006779322531763004,0.0011030224852732178,0.001111022474495369
ID_EJJIM0,0.058681065572007834,0.013562481396451956,0.011149034539129058,0.0004952978066488396,0.0007544900314233934,0.0007560209988629331
ID_9EEUE8,0.059762088955041134,0.01044363989549941,0.007600301820696718,0.0005149328130678272,0.0007457649746135915,0.0007472515961648775
ID_EZ948R,0.9357464663381354,0.937617812284963,0.9434507480681091,0.36351543783428086,0.5090245723241673,0.5090245723241673
