ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.3884995552392813,0.5385280199252802,0.5177548478918342,0.001,0.0012798122739288076,0.0012798122739288076
ID_1UKOKW,0.3884995552392813,0.007924390677815335,0.007924390677815335,0.001,0.0010992524767926982,0.0010992524767926982
ID_U5H2YK,0.8917607187333215,0.8534102472869596,0.82553513609678,0.005,0.005,0.005
ID_55957A,0.8917607187333215,0.8534102472869596,0.82553513609678,0.005,0.005,0.005
ID_N1AC0A,0.3884995552392813,0.03322504892367906,0.03322504892367906,0.001,0.0011074285100655162,0.0011074285100655162
ID_4R3SGT,0.3884995552392813,0.029674079345312222,0.029674079345312222,0.001,0.001106814916802983,0.001106814916802983
ID_NVW38U,0.9686392101049636,0.9645555950898417,0.9611821739903932,0.14781305221809687,0.14781305221809687,0.14781305221809687
ID_15LAWX,0.3884995552392813,0.5879752713040384,0.6046648283223626,0.001,0.0014026654872588218,0.001576626065666916
ID_DPNOLZ,0.3884995552392813,0.6162054794520548,0.6522478206724782,0.001,0.0014850162566332479,0.0017700309968386322
ID_GXO4MZ,0.3884995552392813,0.0988292118840064,0.0988292118840064,0.001,0.0011169833746794524,0.0011169833746794524
ID_TWJ95S,0.3884995552392813,0.6169156733677281,0.6520702721935598,0.001,0.001485267092908978,0.0017700034390806625
ID_F6RQR5,0.3884995552392813,0.03633214730475004,0.03633214730475004,0.001,0.0011080719513108428,0.0011080719513108428
ID_OD0S5Q,0.8917607187333215,0.8534102472869596,0.82553513609678,0.005,0.005,0.005
ID_L4DEEY,0.9519496530866394,0.9476884895925992,0.9457354563244974,0.06675256686394042,0.06675256686394042,0.07729550399722109
ID_H0WWMP,0.3884995552392813,0.029674079345312222,0.029674079345312222,0.001,0.001106814916802983,0.001106814916802983
ID_NK0GGQ,0.3884995552392813,0.052844155844155846,0.052844155844155846,0.001,0.0011107928457134875,0.0011107928457134875
ID_C3E07L,0.3884995552392813,0.6225972246931152,0.6101688311688311,0.001,0.0014996523814850005,0.0015944246978503117
ID_8ZHOIS,0.3884995552392813,0.8236708770681374,0.7984589930617327,0.001,0.003404579069946863,0.003544879375080845
ID_WEM7E6,0.9952714819427148,0.9965143212951432,0.9963367728162249,0.7019170339177297,0.7810243142728551,0.7810243142728551
ID_EI276D,0.9649106920476783,0.9611821739903932,0.9570985589752713,0.12833337020844368,0.12833337020844368,0.12833337020844368
ID_WY9YFZ,0.3884995552392813,0.05994609500088952,0.05994609500088952,0.001,0.00111178796696382,0.00111178796696382
ID_VGITCI,0.3884995552392813,0.6247278064401351,0.6533131115459883,0.001,0.0015089160273326007,0.0017781047552028603
ID_NHFYZX,0.3884995552392813,0.03633214730475004,0.03633214730475004,0.001,0.0011080719513108428,0.0011080719513108428
ID_PZPP2T,0.3884995552392813,0.040238213840953566,0.040238213840953566,0.001,0.0011084569419096764,0.0011084569419096764
ID_YSGK3Y,0.3884995552392813,0.040060665362035223,0.040060665362035223,0.001,0.001108442079131691,0.001108442079131691
ID_RT29AK,0.3884995552392813,0.0429014410247287,0.0429014410247287,0.001,0.0011090068580695746,0.0011090068580695746
ID_AUK2TM,0.8917607187333215,0.8534102472869596,0.82553513609678,0.005,0.005,0.005
ID_QZA91L,0.8917607187333215,0.8534102472869596,0.82553513609678,0.005,0.005,0.005
ID_CWTE3D,0.9839083792919409,0.9803574097135741,0.9768064401352072,0.2777953717189122,0.2777953717189122,0.2777953717189122
ID_E04V5D,0.3884995552392813,0.01866607365237502,0.01866607365237502,0.001,0.0011037981360159045,0.0011037981360159045
ID_XTGV9Y,0.3884995552392813,0.5879752713040384,0.6046648283223626,0.001,0.0014026654872588218,0.001576626065666916
ID_ADLLTR,0.3884995552392813,0.5385280199252802,0.5177548478918342,0.001,0.0012798122739288076,0.0012798122739288076
ID_938PPA,0.3884995552392813,0.8236708770681374,0.7984589930617327,0.001,0.003404579069946863,0.003544879375080845
ID_68PA5Q,0.3884995552392813,0.5879752713040384,0.6046648283223626,0.001,0.0014026654872588218,0.001576626065666916
ID_EJJIM0,0.3884995552392813,0.029674079345312222,0.029674079345312222,0.001,0.001106814916802983,0.001106814916802983
